no,kecamatan,gedung,longtitude,latitude,alamat,gambar
22,Bogor Utara,,106.822257,-6.567013,"Jl. Pangeran Sogiri No.257, RT.05/RW.03, Tanah Baru, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16154",
23,Bogor Timur,,106.832336,-6.620545,"Jl. Mutiara Bogor Raya, RT.04/RW.15, Katulampa, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16144",
24,Bogor Timur,,106.813908,-6.600465,"Jl. Padi No.1, RT.02/RW.09, Baranangsiang, Bogor, Jawa Barat 16143",
25,Bogor Selatan,,106.799072,-6.610321,"Jl. Pahlawan No.84, RT.01/RW.06, Bondongan, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16132",
26,Bogor Selatan,,106.80189,-6.612013,"Jl. Pahlawan No.97a, RT.01/RW.07, Bondongan, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16132",
27,Bogor Tengah,,106.787744,-6.571247,"Jl. Tentara Pelajar No.1, RT.5/RW.12, Ciwaringin, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16124",
28,Bogor Selatan,,106.804174,-6.615873,"Jl. Pahlawan No.150, RT.02/RW.08, Empang, Bogor, Kota Bogor, Jawa Barat 16132",
29,Bogor Timur,,106.814321,-6.616224,"Jl. Raya Pajajaran No.20l, RT.06/RW.04, Kp. Parung Jambu, Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16143",
30,Bogor Timur,,106.812086,-6.611616,"Jl. Raya Pajajaran No.121, RT.03/RW.04, Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16143",
31,Bogor Utara,,106.812024,-6.569751,"Jalan Raya Kawung Luwuk Blok Melati 5 No.2, RT.3/RW.4, Tegal Gundil, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16152",
32,Bogor Utara,,106.823031,-6.57583,"Jl. Pangeran Sogiri No.128, RT.03/RW.03, Tanah Baru, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16154",
33,Bogor Utara,,106.822033,-6.58254,"Jl. Pangeran Sogiri No.71, RT.03/RW.04, Tanah Baru, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16154",
34,Bogor Utara,,106.829981,-6.529017,"Jl. Raya Bogor No.Km 50, Cimandala, Kec. Sukaraja, Bogor, Jawa Barat 16710",
35,Bogor Utara,,106.84366,-6.483238,"Kp.Curug Rt.03 Rw.12.Pakansari Cibinong, Pakansari, Cibinong, Bogor, West Java 16915",
36,Bogor Selatan,,106.835212,-6.640404,"Jalan Raya Tajur No.3, Sindangsari, Bogor Timur, RT.01/RW.07, Muarasari, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16146",
37,Bogor Barat,,106.762982,-6.561679,"Jl. Raya Semplak No.15c, RT.05/RW.01, Semplak, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16114",
38,Bogor Barat,,106.757548,-6.547706,"JL. Atang Sanjaya, RT. 02 RW. 02, Semplak Bar., Kec. Kemang, Bogor, Jawa Barat 16114",
39,Bogor Selatan,,106.808628,-6.614872,"Jl. Siliwangi Blok Rajawali No.66, RT.01/RW.04, Bondongan, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16131",
40,Bogor Timur,,106.814913,-6.620542,"Jl. Siliwangi No.1, RT.07/RW.02, Sukasari, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16134",
41,Bogor Barat,,106.757472,-6.568901,"Jl. HM. Syarifudin, RT.01/RW.01, Sindangbarang, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16115",
42,Bogor Barat,,106.749354,-6.555997,"Jl. Rawajaha, RT.03/RW.03, Situgede, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16115",
43,Bogor Barat,,106.740846,-6.573113,"Jl. Pemuda, RT.003/RW.05, Margajaya, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16116",
44,Bogor Utara,,106.840759,-6.512262,"Jl. Raya Bogor, Nanggewer, Cibinong, Bogor, Jawa Barat 16912",
45,Bogor Timur,,106.812162,-6.617641,"Jl. Siliwangi No.29, RT.02/RW.02, Sukasari, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16142",
46,Bogor Tengah,,106.802353,-6.607919,"Jl. Suryakencana No.187, RT.02/RW.03, Gudang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16123",
47,Bogor Timur,,106.80468,-6.60993,"Jl. Suryakencana No.291-299, RT.01/RW.07, Gudang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16142",
48,Bogor Timur,,106.831088,-6.637505,"Jl. Raya Tajur No.183, RT.04/RW.06, Tajur, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16134",
49,Bogor Timur,,106.839844,-6.64463,"Jl. Raya Tajur No.240, RT.04/RW.04, Sindangsari, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16146",
50,Bogor Selatan,,106.825499,-6.633052,"Jl. Nasional 11 88-67, Pakuan, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16134",
51,Bogor Timur,,106.841818,-6.646304,"Jl. Nasional 11 339-345, RW.04, Sindangsari, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16146",
52,Bogor Selatan,,106.824474,-6.630284,"Jl. Raya Tajur No.93,RT.05/RW.04, Pakuan,Kec. Bogor Selatan,Kota Bogor,Jawa Barat 16134",
53,Bogor Timur,,106.822823,-6.627659,"Jl. Raya Tajur No.34, RT.04/RW.01, Pakuan, Ciawi, Kota Bogor, Jawa Barat 16134",
54,Tanah Sareal,,106.78313,-6.565394,"Jl. Taman Cimanggu Sel. No.13, RT.01/RW.12, Kedung Waringin, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16164",
55,Tanah Sareal,,106.782621,-6.564524,"Jl. Taman Cimanggu Raya 13-5, RT.03/RW.09, Kedung Waringin, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16164",
56,Bogor Utara,,106.822779,-6.561694,"Jl. Pangeran Sogiri No.330, RT.01/RW.09, Tanah Baru, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16154",
57,Bogor Utara,,106.824624,-6.550033,"Jl. Tanah Baru Blok A No.14, RT.01/RW.01, Tanah Baru, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16154",
58,Bogor Utara,,106.809173,-6.591051,"Jalan Bogor Baru A2 No.23, RT.03/RW.02, Tegal Gundil, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16152",
59,Bogor Timur,,106.815104,-6.611652,"Jl. Pajajaran Indah V, RT.07/RW.14, Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16143",
60,Bogor Timur,,106.845842,-6.652979,"Jl. Raya Wangun, RT.04/RW.01, Sindangsari, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16146",
61,Bogor Selatan,,106.838067,-6.642846,"Jl. Nasional 11 3-248, RT.01/RW.07, Muarasari, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16137",
62,Bogor Utara,,106.843553,-6.501038,"Jl. Kp. Nangewer No.19, RT.4/RW.2, Nanggewer Mekar, Cibinong, Bogor, Jawa Barat 16912",
63,Bogor Barat,,106.772674,-6.552251,"Jalan Setapak No.63, RT.01/RW.04, Curug, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16113",
64,Bogor Barat,,106.760616,-6.549888,"Jl. Letkol Atang Senjaya Blok H No.6, RT.1/RW.1, Semplak, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16114",
65,Bogor Timur,,106.812225,-6.605416,"Jl. Ciheuleut No.19, RT.02/RW.11, Baranangsiang, Kec. Bogor Tim.,Kota Bogor, Jawa Barat 16143",
